COLOR NAME2	HEX
Nebulous White	DEDFDC
Passive	CBCCC9
Argos	BDBDB7
Gray Matters	A7A8A2
Cityscape	7F817E
Grizzle Gray	636562
Iron Ore	434341
Site White	DCDEDC
Gray Screen	C6CACA
Online	B0B5B5
Network Gray	A0A5A7
Software	7F8486
Web Gray	616669
Cyberspace	44484D
Original White	E2DEDB
Minute Mauve	CFC9C8
Ponder	BCB6B6
Quest Gray	ADA5A5
Sensuous Gray	837D7F
Stunning Shade	676064
Darkroom	443E40
Arcade White	F3EEE7
Futon	EDE6DB
White Flour	F4EFE5
Whitetail	F4EFE4
Cotton White	F7EFE3
Paperwhite	F7EFDE
Honied White	F8EEDB
Threshold Taupe	AC9A8A
Dry Dock	A18D7D
Sticks & Stones	A49689
Keystone Gray	9E9284
Manor House	665D57
Loggia	C4B7A5
Stone Lion	B3A491
Tavern Taupe	9C8A79
